yyyy-mm,departure_port,arrival_port,route,nonimal_fare_(AUD),real_fare_(AUD)
2024-Mar,Adelaide,Alice Springs,Adelaide - Alice Springs,461,461
2024-Mar,Adelaide,Brisbane,Adelaide - Brisbane,413,413
2024-Mar,Adelaide,Canberra,Adelaide - Canberra,666,666
2024-Mar,Adelaide,Darwin,Adelaide - Darwin,691,691
2024-Mar,Adelaide,Gold Coast,Adelaide - Gold Coast,344,344
2024-Mar,Adelaide,Melbourne,Adelaide - Melbourne,174,174
2024-Mar,Adelaide,Perth,Adelaide - Perth,674,674
2024-Mar,Adelaide,Port Lincoln,Adelaide - Port Lincoln,386,386
2024-Mar,Adelaide,Sydney,Adelaide - Sydney,293,293
2024-Mar,Albury,Sydney,Albury - Sydney,388,388
2024-Mar,Armidale,Sydney,Armidale - Sydney,376,376
2024-Mar,Avalon,Gold Coast,Avalon - Gold Coast,513,513
2024-Mar,Avalon,Sydney,Avalon - Sydney,208,208
2024-Mar,Ayers Rock,Sydney,Ayers Rock - Sydney,1065,1065
2024-Mar,Ballina,Sydney,Ballina - Sydney,88,88
2024-Mar,Brisbane,Cairns,Brisbane - Cairns,396,396
2024-Mar,Brisbane,Canberra,Brisbane - Canberra,512,512
2024-Mar,Brisbane,Darwin,Brisbane - Darwin,714,714
2024-Mar,Brisbane,Emerald,Brisbane - Emerald,604,604
2024-Mar,Brisbane,Gladstone,Brisbane - Gladstone,471,471
2024-Mar,Brisbane,Hamilton Island,Brisbane - Hamilton Island,534,534
2024-Mar,Brisbane,Hobart,Brisbane - Hobart,753,753
2024-Mar,Brisbane,Mackay,Brisbane - Mackay,290,290
2024-Mar,Brisbane,Melbourne,Brisbane - Melbourne,300,300
2024-Mar,Brisbane,Mount Isa,Brisbane - Mount Isa,699,699
2024-Mar,Brisbane,Perth,Brisbane - Perth,544,544
2024-Mar,Brisbane,Proserpine,Brisbane - Proserpine,381,381
2024-Mar,Brisbane,Rockhampton,Brisbane - Rockhampton,431,431
2024-Mar,Brisbane,Sydney,Brisbane - Sydney,274,274
2024-Mar,Brisbane,Townsville,Brisbane - Townsville,362,362
2024-Mar,Brisbane,Newcastle,Brisbane - Newcastle,208,208
2024-Mar,Broome,Perth,Broome - Perth,757,757
2024-Mar,Bundaberg,Brisbane,Bundaberg - Brisbane,362,362
2024-Mar,Cairns,Gold Coast,Cairns - Gold Coast,240,240
2024-Mar,Cairns,Melbourne,Cairns - Melbourne,440,440
2024-Mar,Cairns,Sydney,Cairns - Sydney,376,376
2024-Mar,Cairns,Townsville,Cairns - Townsville,348,348
2024-Mar,Canberra,Melbourne,Canberra - Melbourne,438,438
2024-Mar,Canberra,Sydney,Canberra - Sydney,437,437
2024-Mar,Coffs Harbour,Sydney,Coffs Harbour - Sydney,368,368
2024-Mar,Darwin,Melbourne,Darwin - Melbourne,814,814
2024-Mar,Darwin,Perth,Darwin - Perth,1132,1132
2024-Mar,Darwin,Sydney,Darwin - Sydney,1113,1113
2024-Mar,Devonport,Melbourne,Devonport - Melbourne,425,425
2024-Mar,Dubbo,Sydney,Dubbo - Sydney,388,388
2024-Mar,Gold Coast,Sydney,Gold Coast - Sydney,154,154
2024-Mar,Hamilton Island,Sydney,Hamilton Island - Sydney,242,242
2024-Mar,Hobart,Melbourne,Hobart - Melbourne,196,196
2024-Mar,Hobart,Sydney,Hobart - Sydney,233,233
2024-Mar,Kalgoorlie,Perth,Kalgoorlie - Perth,577,577
2024-Mar,Karratha,Perth,Karratha - Perth,929,929
2024-Mar,Launceston,Melbourne,Launceston - Melbourne,179,179
2024-Mar,Launceston,Sydney,Launceston - Sydney,204,204
2024-Mar,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,266,266
2024-Mar,Sunshine Coast,Sydney,Sunshine Coast - Sydney,227,227
2024-Mar,Melbourne,Gold Coast,Melbourne - Gold Coast,399,399
2024-Mar,Melbourne,Mildura,Melbourne - Mildura,398,398
2024-Mar,Melbourne,Perth,Melbourne - Perth,757,757
2024-Mar,Melbourne,Sydney,Melbourne - Sydney,279,279
2024-Mar,Melbourne,Townsville,Melbourne - Townsville,488,488
2024-Mar,Melbourne,Newcastle,Melbourne - Newcastle,216,216
2024-Mar,Paraburdoo,Perth,Paraburdoo - Perth,862,862
2024-Mar,Perth,Newman,Perth - Newman,891,891
2024-Mar,Perth,Port Hedland,Perth - Port Hedland,748,748
2024-Mar,Perth,Sydney,Perth - Sydney,723,723
2024-Mar,Port Macquarie,Sydney,Port Macquarie - Sydney,360,360
2024-Mar,Sydney,Tamworth,Sydney - Tamworth,442,442
2024-Mar,Sydney,Townsville,Sydney - Townsville,378,378
2024-Mar,Sydney,Wagga Wagga,Sydney - Wagga Wagga,378,378
2024-Mar,Newcastle,Gold Coast,Newcastle - Gold Coast,244,244
2024-Jan,Adelaide,Alice Springs,Adelaide - Alice Springs,661,661
2024-Jan,Adelaide,Brisbane,Adelaide - Brisbane,323,323
2024-Jan,Adelaide,Canberra,Adelaide - Canberra,543,543
2024-Jan,Adelaide,Darwin,Adelaide - Darwin,607,607
2024-Jan,Adelaide,Gold Coast,Adelaide - Gold Coast,256,256
2024-Jan,Adelaide,Melbourne,Adelaide - Melbourne,153,153
2024-Jan,Adelaide,Perth,Adelaide - Perth,430,430
2024-Jan,Adelaide,Port Lincoln,Adelaide - Port Lincoln,298,298
2024-Jan,Adelaide,Sydney,Adelaide - Sydney,247,247
2024-Jan,Albury,Sydney,Albury - Sydney,358,358
2024-Jan,Armidale,Sydney,Armidale - Sydney,432,432
2024-Jan,Avalon,Gold Coast,Avalon - Gold Coast,214,214
2024-Jan,Avalon,Sydney,Avalon - Sydney,134,134
2024-Jan,Ayers Rock,Sydney,Ayers Rock - Sydney,423,423
2024-Jan,Ballina,Sydney,Ballina - Sydney,108,108
2024-Jan,Brisbane,Cairns,Brisbane - Cairns,210,210
2024-Jan,Brisbane,Canberra,Brisbane - Canberra,370,370
2024-Jan,Brisbane,Darwin,Brisbane - Darwin,430,430
2024-Jan,Brisbane,Emerald,Brisbane - Emerald,594,594
2024-Jan,Brisbane,Gladstone,Brisbane - Gladstone,450,450
2024-Jan,Brisbane,Hamilton Island,Brisbane - Hamilton Island,383,383
2024-Jan,Brisbane,Hobart,Brisbane - Hobart,312,312
2024-Jan,Brisbane,Mackay,Brisbane - Mackay,162,162
2024-Jan,Brisbane,Melbourne,Brisbane - Melbourne,245,245
2024-Jan,Brisbane,Mount Isa,Brisbane - Mount Isa,850,850
2024-Jan,Brisbane,Perth,Brisbane - Perth,701,701
2024-Jan,Brisbane,Proserpine,Brisbane - Proserpine,194,194
2024-Jan,Brisbane,Rockhampton,Brisbane - Rockhampton,375,375
2024-Jan,Brisbane,Sydney,Brisbane - Sydney,163,163
2024-Jan,Brisbane,Townsville,Brisbane - Townsville,204,204
2024-Jan,Brisbane,Newcastle,Brisbane - Newcastle,132,132
2024-Jan,Broome,Perth,Broome - Perth,554,554
2024-Jan,Bundaberg,Brisbane,Bundaberg - Brisbane,425,425
2024-Jan,Cairns,Gold Coast,Cairns - Gold Coast,370,370
2024-Jan,Cairns,Melbourne,Cairns - Melbourne,317,317
2024-Jan,Cairns,Sydney,Cairns - Sydney,349,349
2024-Jan,Cairns,Townsville,Cairns - Townsville,318,318
